AÑO,SEDE,FACULTAD,CARRERA,OBSERVACIONES
2019,SEDE 7,FACULTAD 5,LICENCIATURA 23,1
2019,SEDE 7,FACULTAD 3,LICENCIATURA 08,1
2019,SEDE 7,FACULTAD 4,LICENCIATURA 15,1
2019,SEDE 8,FACULTAD 1,INGENIERIA 01,1
2019,SEDE 8,FACULTAD 1,INGENIERIA 01,1
2019,SEDE 8,FACULTAD 1,LICENCIATURA 04,1
2019,SEDE 8,FACULTAD 5,LICENCIATURA 20,1
2019,SEDE 8,FACULTAD 5,LICENCIATURA 22,1
2019,SEDE 8,FACULTAD 5,INGENIERIA 25,1
2019,SEDE 8,FACULTAD 5,LICENCIATURA 23,1
2019,SEDE 8,FACULTAD 2,INGENIERIA 07,1
2019,SEDE 8,FACULTAD 2,INGENIERIA 08,1
2019,SEDE 8,FACULTAD 2,INGENIERIA 08,1
2019,SEDE 8,FACULTAD 4,LICENCIATURA 15,1
2019,SEDE 8,FACULTAD 4,LICENCIATURA 15,1
2019,SEDE 2,FACULTAD 1,INGENIERIA 04,2
2019,SEDE 2,FACULTAD 5,LICENCIATURA 27,2
2019,SEDE 2,FACULTAD 2,INGENIERIA 08,2
2019,SEDE 2,FACULTAD 2,INGENIERIA 13,2
2019,SEDE 2,FACULTAD 2,TÉCNICO 05,2
2019,SEDE 2,FACULTAD 3,INGENIERIA 15,2
2019,SEDE 3,FACULTAD 1,LICENCIATURA 04,2
2019,SEDE 3,FACULTAD 1,LICENCIATURA 04,2
2019,SEDE 3,FACULTAD 3,POSTGRADO 38,2
2019,SEDE 6,FACULTAD 1,INGENIERIA 01,2
2019,SEDE 6,FACULTAD 1,INGENIERIA 01,2
2019,SEDE 6,FACULTAD 1,LICENCIATURA 05,2
2019,SEDE 6,FACULTAD 5,INGENIERIA 29,2
2019,SEDE 6,FACULTAD 5,LICENCIATURA 21,2
2019,SEDE 6,FACULTAD 5,INGENIERIA 24,2
2019,SEDE 6,FACULTAD 5,INGENIERIA 25,2
2019,SEDE 6,FACULTAD 5,POSTGRADO 10,2
2019,SEDE 6,FACULTAD 2,INGENIERIA 08,2
2019,SEDE 6,FACULTAD 3,INGENIERIA 15,2
2019,SEDE 6,FACULTAD 3,LICENCIATURA 08,2
2019,SEDE 6,FACULTAD 3,LICENCIATURA 08,2
2019,SEDE 6,FACULTAD 3,POSTGRADO 24,2
